reach_id,region,old_facc,new_facc,width,old_fwr,new_fwr,reduction,lakeflag
31241900521,AS,859305.188467742,2940,42.0,20459.647344470046,70.0,292.2806763495721,0
62293300201,SA,1776271.525,5220,87.0,20416.91408045977,60.0,340.28190134099617,0
31235000561,AS,2262454.997540984,8050,115.0,19673.521717747684,70.0,281.0503102535384,0
31251000511,AS,1020058.3125,3722,53.17772102355957,19182.06145103659,69.99171698898164,274.0618786942504,0
43430700401,AS,1679318.0,6165,88.08207702636719,19065.37693811761,69.99153753100667,272.3954582319546,0
28311300485,EU,1404317.0,7500,75.0,18724.226666666666,100.0,187.24226666666667,3
31235000571,AS,2262549.25,8470,121.0,18698.754132231406,70.0,267.1250590318772,0
31241900471,AS,860216.1677419355,3360,48.0,17921.170161290323,70.0,256.01671658986174,0
62291001331,SA,2187348.2647058824,7380,123.0,17783.319225251078,60.0,296.3886537541846,0
45630300331,AS,724086.7734375,2940,42.0,17240.161272321428,70.0,246.28801817602042,0
34217700931,AS,2253208.5,9164,130.9144744873047,17211.301567868286,69.99989906302278,245.87609122653862,0
17270100061,AF,1440408.25,4200,84.0,17147.717261904763,50.0,342.95434523809524,0
12231000211,AF,1178902.375,3600,72.0,16373.644097222223,50.0,327.47288194444445,0
28315000783,EU,1293994.625,7907,79.07125091552734,16364.919107987658,99.99841798945526,163.65178006829393,1
31241100451,AS,1025582.8125,4410,63.0,16279.092261904761,70.0,232.55846088435374,0
14210000861,AF,1999901.0,6350,127.0,15747.251968503937,50.0,314.94503937007875,0
62259000141,SA,4370105.5,16740,279.0,15663.460573476703,60.0,261.0576762246117,0
45630300321,AS,724136.8125,3360,48.0,15086.18359375,70.0,215.51690848214287,0
62252100071,SA,4513634.5,18000,300.0,15045.448333333334,60.0,250.75747222222222,0
62253000311,SA,4513633.607976654,18000,300.0,15045.445359922178,60.0,250.75742266536963,0
34251100131,AS,925812.8125,4410,63.0,14695.441468253968,70.0,209.93487811791383,0
62293300181,SA,1783627.5,7380,123.0,14501.036585365853,60.0,241.6839430894309,0
45630700151,AS,715125.125,3780,54.0,13243.05787037037,70.0,189.18654100529102,0
45630800011,AS,693911.8125,3833,54.76142120361328,12671.54499003788,69.99453110882904,181.03621510566137,0
31235000471,AS,2263004.75,12600,180.0,12572.24861111111,70.0,179.60355158730158,0
28311700161,EU,1380683.75,11000,110.0,12551.670454545454,100.0,125.51670454545454,0
31243100151,AS,762680.9882997631,4410,63.0,12106.047433329573,70.0,172.94353476185103,0
31235000421,AS,2263006.225633528,13650,195.0,11605.16013145399,70.0,165.78800187791416,0
45630900111,AS,693589.375,4200,60.0,11559.822916666666,70.0,165.14032738095239,0
17291300561,AF,484532.84375,2100,42.0,11536.496279761905,50.0,230.7299255952381,0
17291500441,AF,475141.1875,2100,42.0,11312.885416666666,50.0,226.25770833333334,0
82270000501,NA,593152.875,4320,54.0,10984.3125,80.0,137.30390625,0
31251000531,AS,1020058.3125,6726,96.09444427490234,10615.164281317519,69.99364063918809,151.65898193577164,0
